Ticker,Name,Sector,Industry,P/E,Market Cap,Dividend Rate
AAPL,Apple Inc.,Technology,Consumer Electronics,36.12422,2236007055360.0,0.82
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,36.335175,1838038908928.0,2.24
BRK.B,Requested symbol wasn't foun,N/A,N/A,,,
