Date,Rate,From,To
2020.5.30,7.14,USD,CNY
2020.5.31,7.14,USD,CNY
2020-09-05,6.84,USD,CNY
2020-09-05,6.84,USD,CNY
2020-09-06,6.84,USD,CNY
2020-09-07,6.84,USD,CNY
2020-09-09,6.84,USD,CNY
2020-09-11,6.84,USD,CNY
2020-09-12,6.84,USD,CNY
2020-09-18,6.77,USD,CNY
2020-09-19,6.77,USD,CNY
2020-09-21,6.79,USD,CNY
2020-09-24,6.79,USD,CNY
2020-09-25,6.83,USD,CNY
2020-09-26,6.83,USD,CNY
2020-10-04,6.79,USD,CNY
